0	1	7	1	1	2	1	3	33	5	5	5	3	4	4	9	7	7	5	5	6	6	7	8	5	6	5	7	4	2	7	inf	inf
1	0	6	1	1	1	2	2	2	4	4	4	2	3	3	8	6	6	4	4	5	5	6	7	4	5	4	6	3	1	6	inf	inf
7	6	0	6	5	4	0	5	6	6	6	5	5	4	3	8	1	2	3	5	6	6	7	8	2	1	4	7	6	5	7	inf	inf
1	1	6	0	1	1	0	2	3	6	4	4	2	3	3	8	6	6	4	4	5	5	6	7	4	5	4	6	2	1	6	inf	inf
1	1	5	1	0	1	0	1	2	5	3	3	1	2	2	7	5	5	3	3	4	4	5	6	3	4	3	5	2	1	5	inf	inf
2	1	4	1	1	0	0	1	2	3	3	2	1	1	1	5	3	3	2	2	3	3	4	5	1	2	2	4	2	1	4	inf	inf
1	2	0	0	0	0	0	1	1	2	2	3	1	2	1	5	4	4	3	3	4	3	4	5	3	4	3	4	1	1	4	inf	inf
3	2	5	2	1	1	1	0	1	2	2	4	2	2	2	5	5	5	4	4	5	3	4	5	3	4	3	4	1	1	4	inf	inf
33	2	6	3	2	2	1	1	0	1	1	2	2	3	2	4	5	5	4	3	4	2	3	4	4	5	4	3	1	1	3	inf	inf
5	4	6	6	5	3	2	2	1	0	1	1	3	2	4	4	6	4	3	2	3	1	2	3	5	5	3	2	1	2	2	inf	inf
5	4	6	4	3	3	2	2	1	1	0	1	2	1	3	2	5	3	2	1	2	1	1	2	4	4	2	1	1	2	1	inf	inf
5	4	5	4	3	2	3	4	2	1	1	0	1	1	1	2	4	2	1	1	2	1	1	2	3	3	1	1	1	3	1	inf	inf
3	2	5	2	1	1	1	2	2	3	2	1	0	1	1	3	3	2	1	1	2	2	3	4	1	3	1	3	2	1	3	inf	inf
4	3	4	3	2	1	2	2	3	2	1	1	1	0	1	3	3	1	1	1	2	1	2	3	2	2	1	2	1	1	2	inf	inf
4	3	3	3	2	1	1	2	2	4	3	1	1	1	0	5	2	2	2	2	3	3	4	5	1	1	2	3	3	1	4	inf	inf
9	8	8	8	7	5	5	5	4	4	2	2	3	3	5	0	7	5	4	3	4	1	1	2	6	5	4	5	2	5	1	inf	inf
7	6	1	6	5	3	4	5	5	6	5	4	3	3	2	7	0	1	2	5	6	5	6	7	1	1	4	4	5	4	6	inf	inf
7	6	2	6	5	3	4	5	5	4	3	2	2	1	2	5	1	0	1	2	3	3	4	5	1	1	2	3	4	3	4	inf	inf
5	4	3	4	3	2	3	4	4	3	2	1	1	1	2	4	2	1	0	1	2	2	3	4	1	1	1	2	2	2	3	inf	inf
5	4	5	4	3	2	3	4	3	2	1	1	1	1	2	3	5	2	1	0	1	1	2	3	3	3	1	3	1	2	2	inf	inf
6	5	6	5	4	3	4	5	4	3	2	2	2	2	3	4	6	3	2	1	0	2	3	4	5	4	2	3	2	3	3	inf	inf
6	5	6	5	4	3	3	3	2	1	1	1	2	1	3	1	5	3	2	1	2	0	1	2	4	4	2	1	1	3	1	inf	inf
7	6	7	6	5	4	4	4	3	2	1	1	3	2	4	1	6	4	3	2	3	1	0	1	5	5	3	1	1	4	1	inf	inf
8	7	8	7	6	5	5	5	4	3	2	2	4	3	5	2	7	5	4	3	4	2	1	0	7	7	5	3	3	6	1	inf	inf
5	4	2	4	3	1	3	3	4	5	4	3	1	2	1	6	1	1	1	3	5	4	5	7	0	1	3	5	4	1	6	inf	inf
6	5	1	5	4	2	4	4	5	5	4	3	3	2	1	5	1	1	1	3	4	4	5	7	1	0	2	6	4	2	7	inf	inf
5	4	4	4	3	2	3	3	4	3	2	1	1	1	2	4	4	2	1	1	2	2	3	5	3	2	0	3	2	2	3	inf	inf
7	6	7	6	5	4	4	4	3	2	1	1	3	2	3	5	4	3	2	3	3	1	1	3	5	6	3	0	1	4	1	inf	inf
4	3	6	2	2	2	1	1	1	1	1	1	2	1	3	2	5	4	2	1	2	1	1	3	4	4	2	1	0	2	2	inf	inf
2	1	5	1	1	1	1	1	1	2	2	3	1	1	1	5	4	3	2	2	3	3	4	6	1	2	2	4	2	0	4	inf	inf
7	6	7	6	5	4	4	4	3	2	1	1	3	2	4	1	6	4	3	2	3	1	1	1	6	7	3	1	2	4	0	inf	inf
inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	0	inf
inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	0
